target_id	length	eff_length	est_counts	tpm
CAM40531	2469	2305.17	70	36.2237
CAM40532	336	309.5	47	181.148
CAM40533	1680	1516.17	76	59.7949
CAM40534	1563	1399.17	33	28.1347
CAM40535	699	535.167	37	82.4726
CAM40536	1329	1165.17	26	26.6184
CAM40537	2067	1903.17	43	26.9519
CAM40538	525	361.167	16	52.8457
CAM40539	1866	1702.17	66	46.2529
CAM40540	993	829.167	45	64.7393
CAM40541	1059	895.167	29	38.6448
CAM40542	912	748.167	17	27.1049
CAM40543	1101	937.167	49	62.3701
CAM40544	1026	862.167	76	105.152
CAM40545	1227	1063.17	31	34.7822
CAM40546	840	676.167	27	47.6329
CAM40547	1344	1180.17	48	48.5171
CAM40548	924	760.167	78	122.4
CAM40549	4419	4255.17	97	27.1927
CAM40550	1665	1501.17	60	47.6782
CAM40551	4458	4294.17	92	25.5568
CAM40552	2781	2617.17	62	28.259
CAM40553	399	302.2	32	126.314
CAM40554	690	526.167	39	88.4176
CAM40555	879	715.167	2.15175	3.58907
CAM40556	552	388.167	19	58.3892
CAM40557	1065	901.167	44	58.2431
CAM40558	1536	1372.17	74	64.3313
CAM40559	1854	1690.17	41	28.9369
CAM40560	828	664.167	125	224.507
CAM40561	252	225.5	0	0
CAM40562	1998	1834.17	92	59.8338
CAM40563	1080	916.167	152.905	199.088
CAM40564	2115	1951.17	1038.91	635.155
CAM40565	1140	976.167	230.187	281.29
CAM40566	2187	2023.17	87	51.2962
CAM40567	930	766.167	59	91.8599
CAM40568	1113	949.167	24	30.1624
CAM40569	1212	1048.17	26	29.5897
CAM40570	2823	2659.17	47	21.0838
CAM40571	300	273.5	26	113.4
CAM40572	3162	2998.17	6	2.38722
CAM40573	663	499.167	14	33.4564
CAM40574	651	487.167	15	36.7292
CAM40575	867	703.167	28	47.5004
CAM40576	1626	1462.17	60	48.9499
CAM40577	2049	1885.17	47	29.7403
CAM40578	3207	3043.17	54	21.1673
CAM40579	909	745.167	34	54.428
CAM40580	2667	2503.17	26	12.3903
CAM40581	507	343.167	1	3.4761
CAM40582	1050	886.167	21	28.2684
CAM40583	4356	4192.17	42	11.9511
CAM40584	609	445.167	36	96.4666
CAM40585	1296	1132.17	15	15.8044
CAM40586	6078	5914.17	70	14.1189
CAM40587	1056	892.167	46	61.5048
CAM40588	417	320.2	35	130.39
CAM40589	1719	1555.17	33	25.3125
CAM40590	1137	973.167	26	31.8701
CAM40591	2031	1867.17	58	37.0546
CAM40592	2628	2464.17	134	64.8682
CAM40593	573	409.167	56	163.262
CAM40594	1305	1141.17	99	103.486
CAM40595	381	284.2	14	58.7626
CAM40596	909	745.167	51	81.6421
CAM40597	1434	1270.17	58	54.4709
CAM40598	354	327.5	19	69.2053
CAM40599	4221	4057.17	80	23.5215
CAM40600	459	362.2	52	171.258
CAM40601	2547	2383.17	48	24.0261
CAM40602	1503	1339.17	160	142.522
CAM40603	465	368.2	38	123.111
CAM40604	1170	1006.17	54	64.0208
CAM40605	1887	1723.17	100	69.2261
CAM40606	579	415.167	470.691	1352.42
CAM40607	1695	1531.17	72	56.0928
CAM40608	1116	952.167	44	55.1235
CAM40609	2316	2152.17	72	39.9074
CAM40610	1191	1027.17	58	67.3572
CAM40611	1209	1045.17	45	51.3599
CAM40612	2646	2482.17	35	16.8203
CAM40613	912	748.167	144	229.594
CAM40614	750	586.167	531.387	1081.4
CAM40615	564	400.167	76.5	228.044
CAM40616	564	400.167	76.5	228.044
CAM40617	1392	1228.17	73	70.9027
CAM40618	303	276.5	307	1324.46
CAM40619	735	571.167	75	156.637
CAM40620	1386	1222.17	35	34.1613
CAM40621	2796	2632.17	44	19.9405
CBZ14814	240	213.5	21	117.333
CAM40622	1332	1168.17	5.19104e-07	5.30086e-07
CAM40623	1332	1168.17	951.903	972.042
CAM40624	1881	1717.17	79	54.8797
CAM40625	672	508.167	0	0
CAM40626	1332	1168.17	3422.09	3494.49
CAM40627	3810	3646.17	44	14.3951
CAM40628	4878	4714.17	88	22.2677
CAM40629	528	364.167	0	0
CAM40631	534	370.167	149.07	480.387
CAM40632	2196	2032.17	115	67.505
CAM40633	2133	1969.17	82	49.6739
CAM40634	2754	2590.17	72	33.159
CAM40635	1254	1090.17	29	31.7324
CAM40636	1458	1294.17	53	48.8521
CAM40637	1011	847.167	37	52.0991
CAM40638	345	318.5	31	116.105
CAM40639	1743	1579.17	81	61.1863
CAM40640	354	327.5	44	160.265
CAM40641	660	496.167	523.222	1257.93
CAM40642	2649	2485.17	34	16.32
CAM40643	1653	1489.17	51	40.853
CAM40644	3450	3286.17	79	28.6771
CAM40645	6000	5836.17	25	5.10987
CAM40646	1242	1078.17	65	71.9159
CAM40647	1764	1600.17	92	68.5835
CAM40648	582	418.167	36	102.695
CAM40650	3585	3421.17	102	35.565
CAM40651	2820	2656.17	22	9.88017
CAM40652	1461	1297.17	23	21.1509
CAM40653	645	481.167	54	133.874
CAM40654	1368	1204.17	60	59.4377
CAM40655	1287	1123.17	33	35.0483
CAM40656	2736	2572.17	51	23.652
CAM40657	732	568.167	19	39.891
CAM40658	1647	1483.17	42	33.7798
CAM40659	612	448.167	16	42.5871
CAM40660	2262	2098.17	54	30.7009
CAM40661	2262	2098.17	127	72.2039
CAM40662	933	769.167	67	103.909
CAM40663	1965	1801.17	48	31.7896
CAM40664	873	709.167	19.2758	32.4236
CAM40665	1413	1249.17	25.7242	24.5651
CAM40666	2457	2293.17	49	25.4893
CAM40667	444	347.2	31	106.507
CAM40668	4134	3970.17	77	23.1355
CAM40669	1278	1114.17	27	28.9075
CAM40670	2574	2410.17	87	43.0595
CAM40671	1908	1744.17	78	53.3462
CAM40672	1041	877.167	32	43.5176
CAM40673	2133	1969.17	41	24.837
CAM40674	1905	1741.17	24	16.4425
CAM40675	2331	2167.17	22	12.1095
CAM40676	756	592.167	7	14.101
CAM40677	996	832.167	19	27.2358
CAM40678	2292	2128.17	60	33.6312
CAM40679	978	814.167	53	77.6533
CAM40680	504	340.167	32	112.216
CAM40681	1770	1606.17	59.1363	43.9198
CAM40682	1962	1798.17	51	33.8328
CAM40683	642	478.167	14	34.9258
CAM40684	1947	1783.17	55.4186	37.0733
CAM40685	648	484.167	83	204.494
CAM40686	1947	1783.17	218.1	145.902
CAM40687	750	586.167	21.5	43.7537
CAM40688	1350	1186.17	56.4811	56.8008
CAM40689	750	586.167	21.5	43.7537
CAM40690	1245	1081.17	61	67.303
CAM40691	828	664.167	69.8205	125.402
CAM40692	546	382.167	37	115.49
CAM40693	324	297.5	17	68.1646
CAM40694	1719	1555.17	46	35.284
CBZ14817	1263	1099.17	60	65.1156
CAM40695	1227	1063.17	72	80.7846
CAM40696	879	715.167	39	65.0511
CAM40697	5904	5740.17	175	36.3673
CAM40698	1770	1606.17	80	59.4151
CAM40699	1458	1294.17	31	28.5738
CAM40700	1698	1534.17	8	6.22035
CAM40701	2007	1843.17	13	8.41349
CAM40702	630	466.167	0	0
CAM40703	1011	847.167	22	30.9778
CAM40704	390	293.2	26	105.781
CAM40705	9339	9175.17	142	18.4617
CAM40706	2583	2419.17	46	22.6824
CAM40707	1863	1699.17	59	41.4203
CAM40708	594	430.167	39	108.15
CAM40709	687	523.167	32	72.9637
CAM40710	663	499.167	19	45.4052
CAM40711	984	820.167	13	18.9077
CAM40712	2022	1858.17	54	34.6662
CAM40713	768	604.167	75	148.082
CAM40714	1536	1372.17	56	48.6831
CAM40715	1776	1612.17	57	42.1757
CAM40716	981	817.167	89	129.92
CAM40717	2703	2539.17	65	30.5365
CAM40718	1419	1255.17	64	60.8241
CAM40719	2718	2554.17	113	52.7748
CAM40720	591	427.167	106	296.01
CAM40721	372	345.5	17	58.6946
CAM40722	798	634.167	95	178.697
CAM40723	615	451.167	35	92.5397
CAM40724	1362	1198.17	57	56.7486
CAM40725	2388	2224.17	83	44.5152
CAM40726	3099	2935.17	98	39.8282
CAM40727	3312	3148.17	129	48.8798
CAM40728	1935	1771.17	85	57.2475
CAM40729	1227	1063.17	18	20.1961
CAM40730	2697	2533.17	117	55.0959
CAM40731	225	198.5	17	102.161
CAM40732	780	616.167	2	3.87194
CAM40733	318	291.5	11	45.0144
CAM40734	4881	4717.17	93	23.5179
CAM40735	762	598.167	30	59.8269
CAM40736	648	484.167	44	108.406
CAM40737	1170	1006.17	34	40.3094
CAM40738	1293	1129.17	97	102.473
CAM40739	2856	2692.17	37	16.3945
CAM40740	1419	1255.17	0	0
CAM40741	657	493.167	15	36.2823
CAM40742	762	598.167	36	71.7922
CAM40743	1923	1759.17	27	18.3086
CAM40744	1959	1795.17	44	29.2378
CAM40745	894	730.167	51	83.3193
CAM40746	1878	1714.17	30	20.8769
CAM40747	384	287.2	23	95.5302
CAM40748	615	451.167	49	129.556
CAM40749	1755	1591.17	72	53.9777
CAM40750	570	406.167	42.9952	126.274
CAM40751	1071	907.167	59	77.5822
CAM40752	1881	1717.17	43	29.8712
CAM40753	2118	1954.17	54	32.9632
CAM40754	1290	1126.17	20	21.1848
CAM40755	1461	1297.17	54	49.6587
CAM40756	1347	1183.17	6	6.04926
CAM40757	1713	1549.17	41	31.5706
CAM40758	369	342.5	21	73.1402
CAM40759	4155	3991.17	58	17.3351
CAM40760	2550	2386.17	18	8.99848
CAM40761	3330	3166.17	93	35.0386
CAM40762	2364	2200.17	53	28.7354
CAM40763	1272	1108.17	40	43.0578
CAM40764	351	324.5	80	294.085
CAM40765	3051	2887.17	43	17.7662
CAM40766	3780	3616.17	55	18.1431
CAM40767	3411	3247.17	66	24.2458
CAM40768	1506	1342.17	28	24.8856
CAM40769	1533	1369.17	40	34.8498
CAM40770	651	487.167	54	132.225
CAM40771	2805	2641.17	31	14.0011
CAM40772	2895	2731.17	41	17.9074
CAM40773	2604	2440.17	23	11.2436
CAM40774	606	442.167	79	213.127
CAM40775	4407	4243.17	41	11.5263
CAM40776	4248	4084.17	25	7.30186
CAM40777	3426	3262.17	48	17.5522
CAM40778	1194	1030.17	17	19.6851
CAM40779	273	246.5	18	87.1069
CAM40780	828	664.167	22	39.5133
CAM40781	2268	2104.17	33	18.7082
CAM40782	1188	1024.17	31	36.1067
CAM40783	909	745.167	26	41.6214
CAM40784	1347	1183.17	38	38.312
CAM40785	4278	4114.17	60	17.3967
CAM40786	2685	2521.17	60	28.3888
CAM40787	3111	2947.17	23	9.30937
CAM40788	5937	5773.17	81	16.7366
CAM40789	1176	1012.17	41	48.3202
CAM40790	1578	1414.17	34	28.6798
CAM40791	2436	2272.17	31	16.2749
CAM40792	3492	3328.17	39	13.9784
CAM40793	1482	1318.17	131	118.549
CAM40794	2562	2398.17	12.8353	6.38444
CAM40795	624	460.167	8.47269	21.9636
CAM40796	1629	1465.17	40	32.5664
CAM40797	1905	1741.17	152	104.136
CAM40798	1698	1534.17	32	24.8814
CAM40799	2295	2131.17	68	38.0617
CAM40801	1953	1789.17	74	49.3376
CAM40802	1536	1372.17	233	202.557
CAM40803	4938	4774.17	55	13.7424
CAM40804	3135	2971.17	279	112.015
CAM40806	1200	1036.17	54	62.1672
CAM40807	1761	1597.17	29	21.6593
CAM40808	2055	1891.17	69	43.5228
CAM40809	822	658.167	50	90.6215
CAM40810	2037	1873.17	40	25.473
CBZ14819	1653	1489.17	44	35.2457
CAM40812	3900	3736.17	85	27.1388
CAM40813	1497	1333.17	100	89.4773
CAM40814	1278	1114.17	37	39.614
CAM40815	6210	6046.17	93	18.3485
CAM40816	1584	1420.17	27	22.6789
CAM40817	300	273.5	18	78.5077
CAM40818	1716	1552.17	15	11.5279
CAM40819	3177	3013.17	93	36.8177
CAM40820	2805	2641.17	57	25.744
CAM40821	1452	1288.17	33	30.559
CAM40822	1488	1324.17	44	39.6376
CAM40823	3858	3694.17	27	8.71855
CAM40824	1110	946.167	8	10.086
CAM40825	2373	2209.17	73	39.4177
CAM40826	3453	3289.17	58	21.0348
CAM40827	3582	3418.17	74	25.8247
CAM40828	2526	2362.17	63	31.8147
CAM40829	801	637.167	27	50.5485
CAM40830	2631	2467.17	46	22.2411
CAM40831	498	401.2	27	80.2786
CAM40832	1380	1216.17	18	17.6554
CAM40833	1506	1342.17	52	46.2162
CAM40834	2454	2290.17	131	68.2341
CAM40835	3324	3160.17	47	17.7413
CAM40836	2631	2467.17	16	7.73604
CAM40837	409	312.2	9.51033	36.3379
CAM40838	14943	14779.2	124	10.0085
CAM40839	2553	2389.17	37	18.4736
CAM40840	459	362.2	56	184.432
CAM40841	1425	1261.17	60	56.7513
CAM40842	1761	1597.17	71	53.028
CAM40843	1005	841.167	135	191.447
CAM40844	1185	1021.17	23	26.8676
CAM40846	1149	985.167	66	79.9156
CAM40847	1416	1252.17	81	77.165
CAM40848	348	321.5	16	59.3658
CAM40849	1227	1063.17	32	35.9042
CAM40850	789	625.167	3	5.7243
CAM40851	8253	8089.17	27	3.9816
CAM40852	5127	4963.17	34	8.17179
CAM40853	945	781.167	6	9.16231
CAM40854	4104	3940.17	3	0.908247
CAM40855	1893	1729.17	9	6.20873
CAM40856	1956	1792.17	11	7.32169
CAM40857	4155	3991.17	20	5.97761
CAM40858	3717	3553.17	2	0.671447
CAM40859	993	829.167	5	7.19325
CAM40860	2895	2731.17	24	10.4824
CAM40861	3312	3148.17	27	10.2307
CAM40862	2853	2689.17	39	17.2999
CAM40863	2964	2800.17	8	3.40803
CAM40864	4311	4147.17	64	18.4088
CAM40865	2043	1879.17	80	50.7834
CAM40867	13302	13138.2	0	0
CAM40868	6984	6820.17	42	7.34601
CAM40869	6765	6601.17	129	23.3113
CBZ14822	4353	4189.17	145	41.2893
CAM40871	1398	1234.17	43	41.5616
CAM40872	2844	2680.17	39	17.358
CAM40873	762	598.167	12	23.9307
CAM40874	456	359.2	376.296	1249.66
CAM40875	1461	1297.17	50	45.9803
CAM40876	1599	1435.17	36	29.9225
CAM40877	1818	1654.17	127	91.5844
CAM40878	312	285.5	51	213.089
CAM40879	1005	841.167	79	112.032
CAM40880	2715	2551.17	150	70.1374
CAM40881	2946	2782.17	82	35.1583
CAM40882	1611	1447.17	54	44.5115
CAM40883	321	294.5	355	1437.94
CAM40884	414	317.2	76	285.81
CAM40885	990	826.167	46	66.4182
CAM40886	2850	2686.17	28	12.4343
CAM40887	1185	1021.17	191	223.118
CAM37640	558	394.167	23	69.6058
CAM37641	1125	961.167	95	117.902
CAM37642	645	481.167	14	34.708
CAM37643	1098	934.167	104	132.802
CAM37644	954	790.167	56	84.5408
CAM37645	1974	1810.17	46	30.3135
CAM37646	2880	2716.17	97	42.6003
CAM37647	1002	838.167	31	44.1193
CAM37648	2196	2032.17	67	39.329
CAM37649	1233	1069.17	35	39.0499
CAM37650	2097	1933.17	164	101.198
CAM37651	2481	2317.17	85	43.7581
CAM37652	2601	2437.17	74	36.2196
CAM37653	693	529.167	16	36.0682
CAM37654	507	343.167	72	250.279
CAM37655	1047	883.167	27	36.4685
CAM37656	918	754.167	33	52.1968
CAM37657	13302	13138.2	282	25.6042
CBZ14481	555	391.167	28	85.3873
CAM37659	1074	910.167	20	26.2124
CAM37660	900	736.167	29	46.9915
CAM37661	1164	1000.17	53	63.2122
CAM37662	399	302.2	23	90.7884
CAM37663	528	364.167	25	81.8912
CAM37664	2283	2119.17	78	43.9063
