target_id	length	eff_length	est_counts	tpm
CAM40531	2469	2220	12	51.9181
CAM40532	336	87.1877	0	0
CAM40533	1680	1431	10	67.1198
CAM40534	1563	1314	6	43.8577
CAM40535	699	450	7	149.409
CAM40536	1329	1080	4	35.5735
CAM40537	2067	1818	7	36.9823
CAM40538	525	276	2	69.6003
CAM40539	1866	1617	11	65.3391
CAM40540	993	744	5	64.5487
CAM40541	1059	810	3	35.5735
CAM40542	912	663	7	101.409
CAM40543	1101	852	8	90.1863
CAM40544	1026	777	12	148.337
CAM40545	1227	978	1	9.8209
CAM40546	840	591	7	113.763
CAM40547	1344	1095	8	70.1724
CAM40548	924	675	7	99.6058
CAM40549	4419	4170	25	57.583
CAM40550	1665	1416	10	67.8308
CAM40551	4458	4209	33	75.3052
CAM40552	2781	2532	8	30.347
CAM40553	399	150	4	256.129
CAM40554	690	441	5	108.898
CAM40555	879	630	0	0
CAM40556	552	303	1	31.6991
CAM40557	1065	816	0	0
CAM40558	1536	1287	8	59.7037
CAM40559	1854	1605	9	53.8589
CAM40560	828	579	20	331.773
CAM40561	252	25.369	0	0
CAM40562	1998	1749	12	65.8994
CAM40563	1080	831	0	0
CAM40564	2115	1866	149.752	770.818
CAM40565	1140	891	39.2478	423.085
CAM40566	2187	1938	9	44.6045
CAM40567	930	681	4	56.4161
CAM40568	1113	864	3	33.3501
CAM40569	1212	963	3	29.9216
CAM40570	2823	2574	14	52.2408
CAM40571	300	54.0423	2	355.456
CAM40572	3162	2913	4	13.1889
CAM40573	663	414	6	139.201
CAM40574	651	402	5	119.463
CAM40575	867	618	1	15.5418
CAM40576	1626	1377	6	41.8512
CAM40577	2049	1800	7	37.3522
CAM40578	3207	2958	10	32.4707
CAM40579	909	660	2	29.1056
CAM40580	2667	2418	3	11.9167
CAM40581	507	258	1	37.2281
CAM40582	1050	801	0	0
CAM40583	4356	4107	19	44.4344
CAM40584	609	360	0	0
CAM40585	1296	1047	12	110.084
CAM40586	6078	5829	38	62.6152
CAM40587	1056	807	8	95.2153
CAM40588	417	168	0	0
CAM40589	1719	1470	9	58.8051
CAM40590	1137	888	3	32.4488
CAM40591	2031	1782	7	37.7295
CAM40592	2628	2379	22	88.8216
CAM40593	573	324	3	88.9337
CAM40594	1305	1056	14	127.337
CAM40595	381	132.001	3	218.291
CAM40596	909	660	7	101.87
CAM40597	1434	1185	9	72.9482
CAM40598	354	105.028	3	274.352
CAM40599	4221	3972	24	58.0353
CAM40600	459	210	2	91.4747
CAM40601	2547	2298	12	50.1558
CAM40602	1503	1254	22	168.506
CAM40603	465	216	2	88.9337
CAM40604	1170	921	3	31.2861
CAM40605	1887	1638	10	58.6376
CAM40606	579	330	51.2551	1491.81
CAM40607	1695	1446	8	53.1388
CAM40608	1116	867	1	11.0782
CAM40609	2316	2067	9	41.8208
CAM40610	1191	942	8	81.5698
CAM40611	1209	960	1	10.005
CAM40612	2646	2397	6	24.0422
CAM40613	912	663	10	144.869
CAM40614	750	501	39.6	759.185
CAM40615	564	315	3	91.4747
CAM40616	564	315	3	91.4747
CAM40617	1392	1143	9	75.6287
CAM40618	303	56.5345	11	1868.83
CAM40619	735	486	1	19.763
CAM40620	1386	1137	4	33.7901
CAM40621	2796	2547	4	15.0842
CBZ14814	240	21.2959	0	0
CAM40622	1332	1083	0	0
CAM40623	1332	1083	205.63	1823.68
CAM40624	1881	1632	15	88.2798
CAM40625	672	423	0	0
CAM40626	1332	1083	214.869	1905.61
CAM40627	3810	3561	19	51.2474
CAM40628	4878	4629	24	49.7983
CAM40629	528	279	0	0
CAM40631	534	285	35.0673	1181.81
CAM40632	2196	1947	15	73.9972
CAM40633	2133	1884	9	45.883
CAM40634	2754	2505	11	42.1769
CAM40635	1254	1005	1	9.55706
CAM40636	1458	1209	3	23.8334
CAM40637	1011	762	3	37.8143
CAM40638	345	96.0755	2	199.944
CAM40639	1743	1494	14	90.0052
CAM40640	354	105.028	0	0
CAM40641	660	411	43.6842	1020.88
CAM40642	2649	2400	11	44.0222
CAM40643	1653	1404	4	27.3642
CAM40644	3450	3201	7	21.004
CAM40645	6000	5751	9	15.031
CAM40646	1242	993	5	48.3627
CAM40647	1764	1515	11	69.7381
CAM40648	582	333	2	57.6867
CAM40650	3585	3336	21	60.4621
CAM40651	2820	2571	9	33.6225
CAM40652	1461	1212	7	55.4735
CAM40653	645	396	6	145.528
CAM40654	1368	1119	2	17.1668
CAM40655	1287	1038	6	55.5193
CAM40656	2736	2487	17	65.6543
CAM40657	732	483	0	0
CAM40658	1647	1398	3	20.6112
CAM40659	612	363	2	52.9192
CAM40660	2262	2013	9	42.9427
CAM40661	2262	2013	21	100.2
CAM40662	933	684	7	98.2952
CAM40663	1965	1716	3	16.7917
CAM40664	873	624	0	0
CAM40665	1413	1164	4	33.0063
CAM40666	2457	2208	13	56.5502
CAM40667	444	195	4	197.022
CAM40668	4134	3885	22	54.3903
CAM40669	1278	1029	4	37.3366
CAM40670	2574	2325	18	74.3601
CAM40671	1908	1659	4	23.1581
CAM40672	1041	792	3	36.382
CAM40673	2133	1884	4	20.3924
CAM40674	1905	1656	5	29.0001
CAM40675	2331	2082	2	9.22655
CAM40676	756	507	0	0
CAM40677	996	747	2	25.7158
CAM40678	2292	2043	3	14.104
CAM40679	978	729	4	52.7015
CAM40680	504	255	1	37.666
CAM40681	1770	1521	20.7116	130.79
CAM40682	1962	1713	9.11795	51.1246
CAM40683	642	393	1	24.4398
CAM40684	1947	1698	17.2604	97.6344
