target_id	length	eff_length	est_counts	tpm
CAM40531	2469	1917	9	8.37567
CAM40532	336	337	22	116.464
CAM40533	1680	1128	16	25.3052
CAM40534	1563	1011	10	17.6461
CAM40535	699	147	4	48.5447
CAM40536	1329	777	17	39.0326
CAM40537	2067	1515	5	5.88785
CAM40538	525	526	4	13.5667
CAM40539	1866	1314	16	21.7232
CAM40540	993	441	11	44.4993
CAM40541	1059	507	11	38.7065
CAM40542	912	360	14	69.3785
CAM40543	1101	549	8	25.9966
CAM40544	1026	474	9	33.8738
CAM40545	1227	675	8	21.1439
CAM40546	840	288	0	0
CAM40547	1344	792	0	0
CAM40548	924	372	17	81.5277
CAM40549	4419	3867	21	9.68823
CAM40550	1665	1113	9	14.426
CAM40551	4458	3906	26	11.8752
CAM40552	2781	2229	9	7.2033
CAM40553	399	400	8	35.6804
CAM40554	690	138	5	64.6383
CAM40555	879	327	0	0
CAM40556	552	553	1	3.22607
CAM40557	1065	513	6	20.8657
CAM40558	1536	984	10	18.1303
CAM40559	1854	1302	11	15.0724
CAM40560	828	276	27	174.524
CAM40561	252	253	0	0
CAM40562	1998	1446	18	22.2077
CAM40563	1080	528	17.2712	58.3563
CAM40564	2115	1563	195.933	223.639
CAM40565	1140	588	63.7959	193.56
CAM40566	2187	1635	12	13.0937
CAM40567	930	378	4	18.8785
CAM40568	1113	561	8	25.4405
CAM40569	1212	660	0	0
CAM40570	2823	2271	23	18.068
CAM40571	300	301	8	47.4158
CAM40572	3162	2610	3	2.0506
CAM40573	663	111	3	48.2167
CAM40574	651	99	7	126.143
CAM40575	867	315	8	45.3084
CAM40576	1626	1074	9	14.9499
CAM40577	2049	1497	12	14.3007
CAM40578	3207	2655	11	7.39141
CAM40579	909	357	13	64.9643
CAM40580	2667	2115	6	5.06104
CAM40581	507	508	2.49379	8.7578
CAM40582	1050	498	2.50621	8.97817
CAM40583	4356	3804	5	2.34492
CAM40584	609	57	10	312.986
CAM40585	1296	744	6	14.3872
CAM40586	6078	5526	33	10.6537
CAM40587	1056	504	6	21.2383
CAM40588	417	418	10	42.6799
CAM40589	1719	1167	2	3.05744
CAM40590	1137	585	3	9.14881
CAM40591	2031	1479	17	20.506
CAM40592	2628	2076	18	15.4684
CAM40593	573	21	18	1529.16
CAM40594	1305	753	22	52.1227
CAM40595	381	382	5	23.351
CAM40596	909	357	20	99.945
CAM40597	1434	882	11	22.2497
CAM40598	354	355	10	50.254
CAM40599	4221	3669	20	9.72482
CAM40600	459	460	2	7.7566
CAM40601	2547	1995	10	8.94245
CAM40602	1503	951	13	24.3872
CAM40603	465	466	2	7.65673
CAM40604	1170	618	6	17.3206
CAM40605	1887	1335	20	26.7269
CAM40606	579	27	63.5335	4197.96
CAM40607	1695	1143	12	18.7299
CAM40608	1116	564	5	15.8158
CAM40609	2316	1764	11	11.1248
CAM40610	1191	639	15	41.8784
CAM40611	1209	657	2	5.4308
CAM40612	2646	2094	6	5.1118
CAM40613	912	360	30	148.668
CAM40614	750	198	76.5	689.28
CAM40615	564	12	8	1189.35
CAM40616	564	12	8	1189.35
CAM40617	1392	840	15	31.8575
CAM40618	303	304	36	211.265
CAM40619	735	183	15	146.231
CAM40620	1386	834	4	8.55644
CAM40621	2796	2244	10	7.95017
CBZ14814	240	241	6	44.4154
CAM40622	1332	780	0.000979069	0.00223933
CAM40623	1332	780	154.831	354.13
CAM40624	1881	1329	7	9.39663
CAM40625	672	120	247.574	3680.64
CAM40626	1332	780	360.293	824.064
CAM40627	3810	3258	12	6.57097
CAM40628	4878	4326	14	5.77352
CAM40629	528	529	0	0
CAM40631	534	535	0	0
CAM40632	2196	1644	39	42.3216
CAM40633	2133	1581	20	22.5682
CAM40634	2754	2202	23	18.6342
CAM40635	1254	702	4	10.1653
CAM40636	1458	906	8	15.7529
CAM40637	1011	459	6	23.3205
CAM40638	345	346	11	56.7173
CAM40639	1743	1191	14	20.9708
CAM40640	354	355	11	55.2794
CAM40641	660	108	62.9885	1040.49
CAM40642	2649	2097	19	16.1642
CAM40643	1653	1101	6	9.72217
CAM40644	3450	2898	9	5.54043
CAM40645	6000	5448	8	2.6197
CAM40646	1242	690	10	25.8553
CAM40647	1764	1212	14	20.6075
CAM40648	582	30	16	951.476
CAM40650	3585	3033	17	9.99944
CAM40651	2820	2268	7	5.50623
CAM40652	1461	909	11	21.5888
CAM40653	645	93	1	19.183
CAM40654	1368	816	7	15.3041
CAM40655	1287	735	6	14.5634
CAM40656	2736	2184	9	7.35172
CAM40657	732	180	3	29.7336
CAM40658	1647	1095	6	9.77544
CAM40659	612	60	4	118.935
CAM40660	2262	1710	19	19.8224
CAM40661	2262	1710	14	14.606
CAM40662	933	381	4	18.7299
CAM40663	1965	1413	12	15.1509
CAM40664	873	321	0	0
CAM40665	1413	861	4	8.28812
CAM40666	2457	1905	6	5.61896
CAM40667	444	445	11	44.0993
CAM40668	4134	3582	4	1.9922
CAM40669	1278	726	6	14.744
CAM40670	2574	2022	16	14.1169
CAM40671	1908	1356	4	5.26259
CAM40672	1041	489	0	0
CAM40673	2133	1581	13	14.6693
CAM40674	1905	1353	5	6.59282
CAM40675	2331	1779	5	5.0141
CAM40676	756	204	9	78.7067
CAM40677	996	444	8	32.1445
CAM40678	2292	1740	5	5.12649
CAM40679	978	426	10	41.8784
CAM40680	504	505	14	49.4579
CAM40681	1770	1218	24	35.1531
CAM40682	1962	1410	24	30.3663
CAM40683	642	90	1	19.8224
CAM40684	1947	1395	10	12.7887
CAM40685	648	96	9	167.252
CAM40686	1947	1395	1.32215	1.69085
CAM40687	750	198	4	36.0408
CAM40688	1350	798	15.6778	35.0496
CAM40689	750	198	0	0
CAM40690	1245	693	14	36.0408
CAM40691	828	276	20	129.277
CAM40692	546	547	8	26.0917
CAM40693	324	325	6	32.9357
CAM40694	1719	1167	2	3.05744
CBZ14817	1263	711	3	7.5275
CAM40695	1227	675	5	13.215
CAM40696	879	327	2	10.9114
CAM40697	5904	5352	30	10.0001
CAM40698	1770	1218	10	14.6471
CAM40699	1458	906	4	7.87646
CAM40700	1698	1146	10	15.5673
